Country reporting;Import/export;To or from country;Middle_Level_Code;Disposal and recovery code;Middle_Level_Description;Mean yearly shipments [tonnes];Std. yearly shipments [tonnes];Years_of_shipment;Recycling_Potential_Index [€/tonnes];Uncertainty factor;Economic_potential [€/year];Min_economic_potential [€/year];Max_economic_potential [€/year]
Denmark;Export;Sweden;06.2;D1;Metal wastes non-ferrous;4400.0;0.0;1;1000;0.33;4378000.0;2933000.0;5823000.0
Norway;Export;Denmark;03.2;D8;Industrial effluent sludges;99600.0;34300.0;3;10;0.33;996000.0;438000.0;1781000.0
Sweden;Export;Finland;12.6;D9;Soils;7900.0;6900.0;2;100;0.33;789000.0;63000.0;1974000.0
Sweden;Export;Denmark;01.1;D10;Spent solvents;4300.0;2400.0;3;100;0.33;428000.0;125000.0;889000.0
Denmark;Export;Norway;12.6;D5;Soils;4300.0;0.0;1;100;0.33;426000.0;286000.0;567000.0
Norway;Export;Sweden;08.2;D10;Discarded electrical and electronic equipment;1400.0;2300.0;3;300;0.33;406000.0;-188000.0;1454000.0
Sweden;Export;Norway;12.6;D5;Soils;3900.0;0.0;1;100;0.33;385000.0;258000.0;512000.0
Sweden;Export;Norway;12.7;D1;Dredging spoil;36600.0;2000.0;2;10;0.33;366000.0;232000.0;513000.0
Norway;Export;Denmark;01.1;D10;Spent solvents;3400.0;1300.0;7;100;0.33;340000.0;141000.0;625000.0
Finland;Export;Sweden;12.1;D10;Construction and demolition wastes;3300.0;1400.0;5;100;0.33;326000.0;126000.0;616000.0
Sweden;Export;Norway;12.1;D5;Construction and demolition wastes;3100.0;3500.0;2;100;0.33;312000.0;-29000.0;886000.0
Norway;Export;Sweden;01.3;D10;Used oils;2700.0;500.0;3;100;0.33;266000.0;144000.0;423000.0
Sweden;Export;Norway;12.4;D12;Combustion wastes;15900.0;6200.0;12;10;0.33;159000.0;65000.0;294000.0
Norway;Export;Sweden;12.1;D10;Construction and demolition wastes;1500.0;500.0;7;100;0.33;147000.0;67000.0;258000.0
Norway;Export;Sweden;01.1;D10;Spent solvents;1400.0;200.0;3;100;0.33;144000.0;86000.0;212000.0
Denmark;Export;Norway;03.2;D12;Industrial effluent sludges;13900.0;4200.0;8;10;0.33;139000.0;65000.0;241000.0
Norway;Export;Sweden;08.4;D12;Discarded machines and equipment components;400.0;0.0;1;300;0.33;128000.0;86000.0;171000.0
Sweden;Export;Denmark;03.2;D10;Industrial effluent sludges;11900.0;0.0;1;10;0.33;119000.0;80000.0;159000.0
Finland;Export;Sweden;01.3;D10;Used oils;1000.0;800.0;3;100;0.33;103000.0;18000.0;237000.0
Norway;Export;Denmark;12.1;D10;Construction and demolition wastes;1000.0;1000.0;5;100;0.33;100000.0;-0.0;266000.0
Norway;Export;Sweden;07.5;D10;Wood wastes;500.0;0.0;1;100;0.33;45000.0;30000.0;60000.0
Norway;Export;Sweden;03.2;D10;Industrial effluent sludges;4500.0;3700.0;4;10;0.33;45000.0;6000.0;109000.0
Sweden;Export;Norway;12.7;D2;Dredging spoil;4200.0;0.0;1;10;0.33;42000.0;28000.0;55000.0
Sweden;Export;Norway;12.7;D5;Dredging spoil;3600.0;0.0;1;10;0.33;36000.0;24000.0;48000.0
Denmark;Export;Norway;12.4;D9;Combustion wastes;3500.0;1000.0;4;10;0.33;35000.0;17000.0;60000.0
Sweden;Export;Sweden;08.4;D10;Discarded machines and equipment components;100.0;0.0;1;300;0.33;29000.0;19000.0;38000.0
Norway;Export;Sweden;08.4;D14;Discarded machines and equipment components;100.0;100.0;2;300;0.33;26000.0;3000.0;63000.0
Finland;Export;Sweden;03.2;D10;Industrial effluent sludges;2000.0;2400.0;3;10;0.33;20000.0;-2000.0;59000.0
Denmark;Export;Norway;12.6;D9;Soils;200.0;0.0;1;100;0.33;20000.0;13000.0;27000.0
Norway;Export;Denmark;12.6;D10;Soils;200.0;100.0;2;100;0.33;20000.0;9000.0;35000.0
Norway;Export;Sweden;01.3;D9;Used oils;200.0;0.0;4;100;0.33;16000.0;7000.0;28000.0
Finland;Export;Sweden;03.3;D9;Sludges and liquid wastes from waste treatment;1400.0;1300.0;2;10;0.33;14000.0;1000.0;37000.0
Sweden;Export;Norway;12.4;D9;Combustion wastes;1100.0;700.0;4;10;0.33;11000.0;3000.0;24000.0
Sweden;Export;Finland;01.3;D9;Used oils;100.0;0.0;2;100;0.33;11000.0;6000.0;18000.0
Norway;Export;Denmark;01.2;D10;Acid alkaline or saline wastes;1000.0;200.0;7;10;0.33;10000.0;5000.0;16000.0
Sweden;Export;Finland;10.1;D1;Household and similar wastes;800.0;500.0;9;10;0.33;8000.0;2000.0;18000.0
Sweden;Export;Norway;01.2;D9;Acid alkaline or saline wastes;600.0;300.0;12;10;0.33;6000.0;2000.0;11000.0
Finland;Export;Sweden;01.1;D10;Spent solvents;0.0;0.0;6;100;0.33;4000.0;2000.0;6000.0
Norway;Export;Sweden;01.2;D13;Acid alkaline or saline wastes;400.0;300.0;4;10;0.33;4000.0;0.0;10000.0
Finland;Export;Sweden;01.2;D9;Acid alkaline or saline wastes;400.0;200.0;9;10;0.33;4000.0;1000.0;8000.0
Sweden;Export;Norway;03.3;D1;Sludges and liquid wastes from waste treatment;300.0;300.0;2;10;0.33;3000.0;0.0;9000.0
Norway;Export;Denmark;03.2;D10;Industrial effluent sludges;300.0;200.0;5;10;0.33;3000.0;0.0;7000.0
Norway;Export;Sweden;01.2;D1;Acid alkaline or saline wastes;300.0;200.0;2;10;0.33;3000.0;1000.0;6000.0
Norway;Export;Sweden;01.2;D9;Acid alkaline or saline wastes;300.0;100.0;7;10;0.33;3000.0;2000.0;6000.0
Norway;Export;Sweden;01.2;D10;Acid alkaline or saline wastes;300.0;100.0;5;10;0.33;3000.0;1000.0;4000.0
Finland;Export;Sweden;03.2;D9;Industrial effluent sludges;200.0;0.0;1;10;0.33;2000.0;1000.0;2000.0
Norway;Export;Sweden;12.4;D10;Combustion wastes;200.0;0.0;6;10;0.33;2000.0;1000.0;3000.0
Denmark;Export;Norway;01.2;D9;Acid alkaline or saline wastes;200.0;0.0;3;10;0.33;2000.0;1000.0;3000.0
Norway;Export;Sweden;07.7;D10;Waste containing PCB;500.0;300.0;4;1;0.33;1000.0;0.0;1000.0
Norway;Export;Sweden;12.4;D1;Combustion wastes;100.0;100.0;2;10;0.33;1000.0;0.0;2000.0
Finland;Export;Sweden;10.1;D10;Household and similar wastes;100.0;0.0;1;10;0.33;1000.0;0.0;1000.0
Sweden;Export;Denmark;01.2;D10;Acid alkaline or saline wastes;100.0;100.0;3;10;0.33;1000.0;0.0;1000.0
Norway;Export;Sweden;12.4;D9;Combustion wastes;100.0;0.0;1;10;0.33;1000.0;0.0;1000.0
Norway;Export;Denmark;07.7;D10;Waste containing PCB;400.0;400.0;5;1;0.33;0.0;0.0;1000.0
Sweden;Export;Norway;07.7;D10;Waste containing PCB;100.0;100.0;2;1;0.33;0.0;-0.0;0.0
Sweden;Export;Denmark;07.7;D10;Waste containing PCB;100.0;100.0;3;1;0.33;0.0;0.0;0.0
