Country reporting,Import/export,To or from country,Middle_Level_Code,Middle_Level_Description,LoW_Code,LoW_Description,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,mean_ship,std_ship
Luxembourg,Export,France,12.6,Soils,170504,soil and stones other than those mentioned in 17 05 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501000.0,850000.0,953000.0,1318000.0,2129000.0,1877000.0,2063000.0,0.0,1551000.0,552000.0
United Kingdom,Export,Netherlands,10.3,Sorting residues,191210,combustible waste (refuse derived fuel),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67000.0,394000.0,1026000.0,1363000.0,1411000.0,1637000.0,1564000.0,1339000.0,1159000.0,579000.0,0.0,0.0,0.0,1062000.0,552000.0
Finland,Export,China (including Hong Kong),10.2,Mixed and undifferentiated materials,060699,wastes not otherwise specified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805000.0,0.0
Belgium,Export,Netherlands,12.6,Soils,170504,soil and stones other than those mentioned in 17 05 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,38000.0,0.0,268000.0,212000.0,605000.0,1804000.0,2078000.0,725000.0,802000.0,894000.0,866000.0,0.0,786000.0,709000.0
Norway,Export,Sweden,10.3,Sorting residues,191210,combustible waste (refuse derived fuel),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585000.0,561000.0,493000.0,488000.0,511000.0,433000.0,0.0,513000.0,56000.0
United Kingdom,Export,Sweden,10.3,Sorting residues,191210,combustible waste (refuse derived fuel),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,29000.0,164000.0,507000.0,593000.0,693000.0,727000.0,803000.0,574000.0,501000.0,0.0,0.0,0.0,466000.0,336000.0
United Kingdom,Export,Germany,10.3,Sorting residues,191210,combustible waste (refuse derived fuel),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,55000.0,175000.0,574000.0,744000.0,753000.0,704000.0,515000.0,396000.0,193000.0,0.0,0.0,0.0,422000.0,304000.0
Netherlands,Export,Germany,07.5,Wood wastes,191207,wood other than that mentioned in 19 12 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455000.0,323000.0,346000.0,370000.0,353000.0,383000.0,536000.0,471000.0,398000.0,415000.0,461000.0,386000.0,0.0,415000.0,82000.0
Netherlands,Export,Germany,10.1,Household and similar wastes,200301,mixed municipal waste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242000.0,277000.0,270000.0,311000.0,277000.0,323000.0,388000.0,244000.0,291000.0,197000.0,185000.0,182000.0,0.0,403000.0,236000.0
Norway,Export,Sweden,07.5,Wood wastes,191207,wood other than that mentioned in 19 12 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378000.0,383000.0,428000.0,385000.0,335000.0,294000.0,0.0,371000.0,51000.0
Belgium,Export,Netherlands,12.7,Dredging spoil,170506,dredging spoil other than those mentioned in 17 05 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154000.0,220000.0,136000.0,315000.0,134000.0,466000.0,687000.0,497000.0,210000.0,256000.0,349000.0,576000.0,0.0,366000.0,249000.0
France,Export,Italy,07.5,Wood wastes,191207,wood other than that mentioned in 19 12 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,202000.0,81000.0,48000.0,207000.0,285000.0,285000.0,207000.0,292000.0,269000.0,0.0,316000.0,199000.0
Germany,Export,France,12.4,Combustion wastes,100202,unprocessed slag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88000.0,139000.0,0.0,0.0,97000.0,103000.0,0.0,0.0,0.0,86000.0,84000.0,100000.0,73000.0,0.0,300000.0,43000.0
Germany,Export,Netherlands,12.1,Construction and demolition wastes,170301*,bituminous mixtures containing coal tar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,26000.0,22000.0,99000.0,100000.0,212000.0,333000.0,378000.0,326000.0,383000.0,545000.0,512000.0,466000.0,299000.0,231000.0
United Kingdom,Export,Spain,12.7,Dredging spoil,170505*,dredging spoil containing dangerous substances,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296000.0,0.0
United Kingdom,Export,Sweden,07.5,Wood wastes,191207,wood other than that mentioned in 19 12 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320000.0,376000.0,378000.0,298000.0,252000.0,241000.0,253000.0,235000.0,187000.0,81000.0,0.0,0.0,0.0,274000.0,117000.0
Germany,Export,Netherlands,12.8,Waste from waste treatment,190112,bottom ash and slag other than those mentioned in 19 01 11,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,20000.0,194000.0,495000.0,652000.0,211000.0,159000.0,293000.0,428000.0,161000.0,79000.0,62000.0,0.0,267000.0,238000.0
France,Export,Belgium,07.5,Wood wastes,191207,wood other than that mentioned in 19 12 06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44000.0,93000.0,56000.0,38000.0,136000.0,191000.0,184000.0,149000.0,243000.0,296000.0,0.0,224000.0,145000.0
Austria,Export,Germany,12.6,Soils,170504,soil and stones other than those mentioned in 17 05 03,0.0,0.0,0.0,0.0,0.0,0.0,353000.0,1623000.0,244000.0,88000.0,69000.0,50000.0,52000.0,64000.0,106000.0,82000.0,61000.0,102000.0,89000.0,139000.0,81000.0,0.0,221000.0,420000.0
Belgium,Export,Netherlands,12.8,Waste from waste treatment,190112,bottom ash and slag other than those mentioned in 19 01 11,0.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,133000.0,135000.0,136000.0,200000.0,202000.0,201000.0,190000.0,176000.0,176000.0,193000.0,225000.0,191000.0,0.0,213000.0,45000.0
