Country reporting,Import/export,To or from country,Middle_Level_Code,Disposal and recovery code,Middle_Level_Description,Mean yearly shipments [tonnes],Std. yearly shipments [tonnes],Years_of_shipment,Recycling_Potential_Index [€/tonnes],Uncertainty factor,Economic_potential [€/year],Min_economic_potential [€/year],Max_economic_potential [€/year]
Italy,Export,Germany,12.1,D1,Construction and demolition wastes,112900.0,14500.0,11,100,0.33,11289000.0,6593000.0,16941000.0
Luxembourg,Export,Germany,12.6,D1,Soils,93900.0,49300.0,9,100,0.33,9388000.0,2989000.0,19037000.0
Ireland,Export,Norway,12.6,D5,Soils,87800.0,39700.0,4,100,0.33,8782000.0,3222000.0,16966000.0
Luxembourg,Export,Germany,12.1,D1,Construction and demolition wastes,72600.0,7200.0,10,100,0.33,7259000.0,4379000.0,10616000.0
Netherlands,Export,Germany,12.6,D1,Soils,62800.0,85900.0,2,100,0.33,6281000.0,-1547000.0,19780000.0
Ireland,Export,Norway,12.6,D9,Soils,60200.0,27900.0,2,100,0.33,6015000.0,2158000.0,11715000.0
Italy,Export,Germany,12.6,D1,Soils,55000.0,50700.0,12,100,0.33,5505000.0,293000.0,14061000.0
Germany,Export,Netherlands,12.6,D1,Soils,48200.0,18100.0,2,100,0.33,4819000.0,2018000.0,8814000.0
Germany,Export,Netherlands,12.1,D1,Construction and demolition wastes,44600.0,600.0,3,100,0.33,4456000.0,2945000.0,6007000.0
Ireland,Export,Germany,12.6,D1,Soils,43200.0,85500.0,4,100,0.33,4319000.0,-2833000.0,17112000.0
Germany,Export,Netherlands,12.6,D9,Soils,40600.0,36500.0,11,100,0.33,4056000.0,269000.0,10254000.0
Germany,Export,Netherlands,12.7,D1,Dredging spoil,167400.0,39100.0,6,10,0.33,1674000.0,860000.0,2746000.0
Netherlands,Export,Germany,10.1,D10,Household and similar wastes,165200.0,132100.0,5,10,0.33,1652000.0,222000.0,3955000.0
Belgium,Export,Netherlands,12.7,D5,Dredging spoil,99700.0,49300.0,4,10,0.33,997000.0,338000.0,1982000.0
Norway,Export,Denmark,03.2,D8,Industrial effluent sludges,99600.0,34300.0,3,10,0.33,996000.0,438000.0,1781000.0
France,Export,Germany,10.1,D10,Household and similar wastes,70300.0,18300.0,4,10,0.33,703000.0,348000.0,1179000.0
