Country reporting,Import/export,To or from country,Middle_Level_Code,Disposal and recovery code,Middle_Level_Description,Mean yearly shipments [tonnes],Std. yearly shipments [tonnes],Years_of_shipment,Recycling_Potential_Index [€/tonnes],Uncertainty factor,Economic_potential [€/year],Min_economic_potential [€/year],Max_economic_potential [€/year]
Denmark,Export,Sweden,06.2,D1,Metal wastes non-ferrous,4400.0,0.0,1,1000,0.33,4378000.0,2933000.0,5823000.0
Norway,Export,Denmark,03.2,D8,Industrial effluent sludges,99600.0,34300.0,3,10,0.33,996000.0,438000.0,1781000.0
Sweden,Export,Finland,12.6,D9,Soils,7900.0,6900.0,2,100,0.33,789000.0,63000.0,1974000.0
Sweden,Export,Denmark,01.1,D10,Spent solvents,4300.0,2400.0,3,100,0.33,428000.0,125000.0,889000.0
Denmark,Export,Norway,12.6,D5,Soils,4300.0,0.0,1,100,0.33,426000.0,286000.0,567000.0
Sweden,Export,Norway,12.7,D1,Dredging spoil,36600.0,2000.0,2,10,0.33,366000.0,232000.0,513000.0
Sweden,Export,Norway,12.4,D12,Combustion wastes,15900.0,6200.0,12,10,0.33,159000.0,65000.0,294000.0
Denmark,Export,Norway,03.2,D12,Industrial effluent sludges,13900.0,4200.0,8,10,0.33,139000.0,65000.0,241000.0
Sweden,Export,Denmark,03.2,D10,Industrial effluent sludges,11900.0,0.0,1,10,0.33,119000.0,80000.0,159000.0
Norway,Export,Sweden,03.2,D10,Industrial effluent sludges,4500.0,3700.0,4,10,0.33,45000.0,6000.0,109000.0
Sweden,Export,Norway,12.7,D2,Dredging spoil,4200.0,0.0,1,10,0.33,42000.0,28000.0,55000.0
