country,nace_r2,nace_r2_activity,waste,waste_description,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,mean_wasgen,std_wasgen
Poland,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12-13,Mineral and solidified wastes (subtotal),79296000.0,75379000.0,71892000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75522000.0,3719000.0
Poland,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12_X_127NH,"Mineral waste (except non-hazardous dredging spoils, valid up to 2008)",79296000.0,75378000.0,71892000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75522000.0,3719000.0
Poland,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12A,"Mineral wastes (except combustion wastes, contaminated soils and polluted dredging spoils) (W121+122+W123+W125+W126, valid up to 2008)",67811000.0,64464000.0,60657000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64311000.0,3581000.0
Poland,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOTAL,Total waste,83256000.0,80271000.0,74979000.0,18048000.0,21588000.0,21819000.0,20576000.0,23678000.0,19011000.0,18656000.0,38188000.0,28726000.0
Italy,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOTAL,Total waste,24095000.0,23878000.0,29800000.0,20361000.0,21232000.0,20367000.0,21589000.0,21596000.0,21582000.0,22003000.0,22650000.0,3013000.0
Germany,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOTAL,Total waste,26972000.0,28153000.0,26929000.0,23853000.0,19198000.0,21542000.0,19163000.0,18618000.0,18903000.0,17609000.0,22094000.0,4160000.0
Germany,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12-13,Mineral and solidified wastes (subtotal),22176000.0,22510000.0,21215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21967000.0,915000.0
Germany,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",W12_X_127NH,"Mineral waste (except non-hazardous dredging spoils, valid up to 2008)",22131000.0,22431000.0,21068000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21877000.0,914000.0
Italy,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",PRIM,Primary waste (TOTAL minus SEC),0.0,0.0,0.0,20085000.0,20887000.0,20032000.0,21201000.0,21123000.0,21155000.0,21429000.0,20845000.0,636000.0
Italy,C24_C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",TOT_X_MIN,Waste excluding major mineral wastes,21839000.0,22621000.0,24974000.0,18070000.0,19485000.0,18682000.0,19927000.0,20115000.0,20228000.0,20555000.0,20763000.0,2061000.0
