Category_Code;Description;Recycling_Potential_Index
01.1;Spent solvents;100
01.2;Acid, alkaline or saline wastes (non-hazardous);10
01.2*;Acid, alkaline or saline wastes (hazardous);1
01.3;Used oils (hazardous);100
01.4+02+03.1;Chemical wastes (non-hazardous);10
01.4+02+03.1*;Chemical wastes (hazardous);1
03.2;Industrial effluent sludges (non-hazardous);10
03.2*;Industrial effluent sludges (hazardous);1
03.3;Sludges and liquid wastes from waste treatment (non-hazardous);10
03.3*;Sludges and liquid wastes from waste treatment (hazardous);1
05;Health care and biological wastes (non-hazardous);1
05*;Health care and biological wastes (hazardous);1
06.1;Metallic wastes – ferrous;1000
06.2;Metallic wastes – non-ferrous;1000
06.3;Mixed metallic wastes;500
07.1;Glass wastes (non-hazardous);1000
07.1*;Glass wastes (hazardous);100
07.2;Paper and cardboard wastes;1000
07.3;Rubber wastes;100
07.4;Plastic wastes;100
07.5;Wood wastes;100
07.6;Textile wastes;10
07.7;Waste containing PCBs;1
08.1;Discarded vehicles;500
08.2;WEEE (electrical and electronic waste);300
08.3;Bulky equipment;200
08.4;Discarded industrial machinery;300
09.1;Animal waste from food production;10
09.2;Green wastes;100
09.3;Slurry and manure;10
10.1;Mixed ordinary wastes;10
11;Radioactive wastes;1
12.1;Construction and demolition mineral waste;100
12.2+12.3+12.5;Other mineral wastes;50
12.2+12.3+12.5*;Hazardous mineral wastes;1
12.4;Combustion wastes (ashes, slags);10
12.4*;Hazardous combustion wastes;1
12.6;Soils;100
12.6*;Hazardous soils;10
12.7;Dredging spoils;10
12.7*;Hazardous dredging spoils;1
12.8+13;Mineral wastes from waste treatment & stabilised wastes;50
12.8+13*;Hazardous mineral treatment wastes;1
