Top_Level_Code;Top_Level_Description;Middle_Level_Code;Middle_Level_Description;Bottom_Level_Code;Bottom_Level_Description;Hazardous_Flag;LoW_Code
01;Chemical compound wastes;01.1;Spent solvents;01.11;Spent solvents (Halogenated);1;07 01 03*
01;Chemical compound wastes;01.1;Spent solvents;01.11;Spent solvents (Halogenated);1;07 02 03*
01;Chemical compound wastes;01.1;Spent solvents;01.11;Spent solvents (Halogenated);1;07 03 03*
01;Chemical compound wastes;01.1;Spent solvents;01.11;Spent solvents (Halogenated);1;07 04 03*
01;Chemical compound wastes;01.1;Spent solvents;01.11;Spent solvents (Halogenated);1;07 05 03*
01;Chemical compound wastes;01.1;Spent solvents;01.11;Spent solvents (Halogenated);1;07 06 03*
01;Chemical compound wastes;01.1;Spent solvents;01.11;Spent solvents (Halogenated);1;07 07 03*
01;Chemical compound wastes;01.1;Spent solvents;01.11;Spent solvents (Halogenated);1;14 06 01*
01;Chemical compound wastes;01.1;Spent solvents;01.11;Spent solvents (Halogenated);1;14 06 02*
01;Chemical compound wastes;01.1;Spent solvents;01.11;Spent solvents (Halogenated);1;14 06 04*
01;Chemical compound wastes;01.1;Spent solvents;01.12;Spent solvents (Non-halogenated);1;07 01 04*
01;Chemical compound wastes;01.1;Spent solvents;01.12;Spent solvents (Non-halogenated);1;07 02 04*
01;Chemical compound wastes;01.1;Spent solvents;01.12;Spent solvents (Non-halogenated);1;07 03 04*
01;Chemical compound wastes;01.1;Spent solvents;01.12;Spent solvents (Non-halogenated);1;07 04 04*
01;Chemical compound wastes;01.1;Spent solvents;01.12;Spent solvents (Non-halogenated);1;07 05 04*
01;Chemical compound wastes;01.1;Spent solvents;01.12;Spent solvents (Non-halogenated);1;07 06 04*
01;Chemical compound wastes;01.1;Spent solvents;01.12;Spent solvents (Non-halogenated);1;07 07 04*
01;Chemical compound wastes;01.1;Spent solvents;01.12;Spent solvents (Non-halogenated);1;14 06 03*
01;Chemical compound wastes;01.1;Spent solvents;01.12;Spent solvents (Non-halogenated);1;14 06 05*
01;Chemical compound wastes;01.1;Spent solvents;01.12;Spent solvents (Non-halogenated);1;20 01 13*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;06 01 01*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;06 01 02*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;06 01 03*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;06 01 04*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;06 01 05*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;06 01 06*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;06 07 04*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;08 03 16*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;09 01 04*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;09 01 05*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;10 01 09*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;11 01 05*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;11 01 06*
01;Chemical compound wastes;01.2;Acid alkaline or saline wastes;01.21;Acid wastes;1;16 06 06*
